4893	2007-12-31	92	\N	72
4944	2007-12-31	54	57	49
126428	2007-12-31	19	\N	37
17538	2007-12-31	31	5	56
4530	2007-12-31	78	\N	\N
4638	2007-12-31	28	\N	71
4547	2007-12-31	80	59	45
4672	2007-12-31	74	49	76
4684	2007-12-31	53	\N	15
17531	2007-12-31	67	98	20
4594	2007-12-31	22	49	72
4440	2007-12-31	9	5	100
17543	2007-12-31	95	69	89
4564	2007-12-31	5	6	18
4886	2007-12-31	24	24	94
4832	2007-12-31	40	88	44
4598	2007-12-31	72	53	40
373286	2007-12-31	\N	68	15
4605	2007-12-31	80	\N	38
4735	2007-12-31	92	59	21
17530	2007-12-31	18	29	72
16716	2007-12-31	41	49	30
4955	2007-12-31	31	18	90
4597	2007-12-31	47	13	77
127355	2007-12-31	5	74	18
17528	2007-12-31	36	40	64
126440	2007-12-31	34	\N	\N
17529	2007-12-31	41	81	21
4482	2007-12-31	77	9	99
4937	2007-12-31	93	10	77
17549	2007-12-31	38	71	88
4842	2007-12-31	20	14	5
4767	2007-12-31	70	26	45
4658	2007-12-31	83	\N	29
17557	2007-12-31	79	98	18
128140	2007-12-31	41	94	76
4808	2007-12-31	29	55	69
4502	2007-12-31	29	83	23
4966	2007-12-31	12	14	92
4912	2007-12-31	65	64	73
17553	2007-12-31	23	34	56
4732	2007-12-31	96	74	39
4967	2007-12-31	14	\N	3
5028	2007-12-31	52	\N	\N
5201	2007-12-31	34	10	86
4514	2007-12-31	86	32	78
17559	2007-12-31	57	80	60
5506	2007-12-31	60	48	26
5062	2007-12-31	46	\N	16
4996	2007-12-31	68	69	22
127372	2007-12-31	49	\N	40
17567	2007-12-31	55	64	26
17576	2007-12-31	91	70	47
5383	2007-12-31	51	\N	98
5069	2007-12-31	57	\N	93
5116	2007-12-31	11	62	31
126446	2007-12-31	62	\N	83
5186	2007-12-31	42	63	91
5140	2007-12-31	74	97	41
17588	2007-12-31	47	93	63
5187	2007-12-31	30	46	86
5385	2007-12-31	30	\N	40
126445	2007-12-31	45	\N	51
5179	2007-12-31	87	84	31
5036	2007-12-31	87	63	25
5364	2007-12-31	31	39	9
5076	2007-12-31	15	\N	70
127371	2007-12-31	48	18	10
126816	2007-12-31	24	\N	87
126664	2007-12-31	49	\N	63
1123	2007-12-31	86	\N	\N
17570	2007-12-31	20	20	3
5217	2007-12-31	48	85	76
5227	2007-12-31	87	72	37
5244	2007-12-31	3	12	6
5050	2007-12-31	25	40	86
17579	2007-12-31	32	60	47
5113	2007-12-31	68	86	45
17312	2007-12-31	86	36	60
16092	2007-12-31	86	23	36
11487	2007-12-31	6	51	7
5289	2007-12-31	19	13	67
5001	2007-12-31	57	85	76
5293	2007-12-31	27	93	50
5351	2007-12-31	38	4	82
5373	2007-12-31	49	\N	88
9836	2007-12-31	42	50	53
5374	2007-12-31	17	\N	13
5290	2007-12-31	11	65	3
17565	2007-12-31	24	48	41
5476	2007-12-31	7	5	16
5481	2007-12-31	3	\N	5
17585	2007-12-31	10	36	25
5379	2007-12-31	44	62	40
18071	2007-12-31	18	11	98
5493	2007-12-31	85	35	12
126453	2007-12-31	87	\N	86
14546	2007-12-31	10	94	57
2515	2007-12-31	43	77	12
129359	2007-12-31	38	32	82
127851	2007-12-31	58	26	99
126728	2007-12-31	33	\N	42
6158	2007-12-31	16	46	18
5387	2007-12-31	19	81	42
5525	2007-12-31	84	\N	\N
5527	2007-12-31	94	85	35
5501	2007-12-31	79	65	62
5820	2007-12-31	71	74	42
17623	2007-12-31	68	48	40
9228	2007-12-31	98	69	9
6063	2007-12-31	26	69	71
5546	2007-12-31	56	\N	67
17632	2007-12-31	33	51	52
5753	2007-12-31	49	62	95
5604	2007-12-31	35	26	83
5552	2007-12-31	69	39	17
5672	2007-12-31	91	4	85
6177	2007-12-31	30	\N	98
6000	2007-12-31	18	1	42
6083	2007-12-31	\N	1	38
6116	2007-12-31	28	57	20
17642	2007-12-31	29	18	63
6018	2007-12-31	80	35	94
127897	2007-12-31	41	\N	16
17614	2007-12-31	64	52	61
5517	2007-12-31	26	25	100
5523	2007-12-31	68	\N	10
5538	2007-12-31	38	10	56
5834	2007-12-31	47	39	70
5585	2007-12-31	57	76	86
5588	2007-12-31	58	58	82
5652	2007-12-31	34	2	48
5727	2007-12-31	65	\N	55
5766	2007-12-31	54	28	86
5777	2007-12-31	63	36	67
5715	2007-12-31	51	24	88
6078	2007-12-31	61	\N	18
5754	2007-12-31	73	18	83
5725	2007-12-31	68	39	81
5747	2007-12-31	25	\N	76
5847	2007-12-31	52	40	58
99910	2007-12-31	56	\N	88
6101	2007-12-31	9	47	89
5937	2007-12-31	81	38	78
5697	2007-12-31	18	8	90
5969	2007-12-31	47	19	25
6075	2007-12-31	26	\N	\N
6221	2007-12-31	3	1	99
17606	2007-12-31	89	4	100
127893	2007-12-31	70	15	96
13376	2007-12-31	23	\N	89
6189	2007-12-31	8	1	80
126721	2007-12-31	4	\N	89
5889	2007-12-31	60	62	11
5850	2007-12-31	40	84	60
6067	2007-12-31	19	\N	91
6096	2007-12-31	24	\N	\N
17622	2007-12-31	9	\N	80
17595	2007-12-31	34	97	46
5910	2007-12-31	32	59	9
5615	2007-12-31	4	10	9
6125	2007-12-31	96	70	66
6025	2007-12-31	53	\N	5
17631	2007-12-31	91	\N	84
6239	2007-12-31	100	85	12
6058	2007-12-31	44	\N	65
6175	2007-12-31	88	85	21
6114	2007-12-31	85	43	38
5654	2007-12-31	40	53	87
5692	2007-12-31	2	\N	22
126727	2007-12-31	42	\N	99
5696	2007-12-31	8	53	17
5673	2007-12-31	64	\N	91
18792	2007-12-31	21	\N	91
5706	2007-12-31	25	\N	76
5723	2007-12-31	19	25	46
6606	2007-12-31	56	18	89
6218	2007-12-31	81	48	80
6219	2007-12-31	70	7	91
6532	2007-12-31	33	89	52
6273	2007-12-31	18	\N	16
6511	2007-12-31	71	38	21
13813	2007-12-31	\N	\N	81
6351	2007-12-31	66	51	96
127911	2007-12-31	27	\N	13
17683	2007-12-31	90	96	45
6399	2007-12-31	20	18	44
17688	2007-12-31	53	74	14
9169	2007-12-31	4	\N	30
6613	2007-12-31	21	8	86
6367	2007-12-31	83	59	40
6390	2007-12-31	27	54	46
8192	2007-12-31	62	\N	100
6518	2007-12-31	49	43	49
6585	2007-12-31	13	32	86
18164	2007-12-31	79	69	27
17658	2007-12-31	21	13	42
17679	2007-12-31	66	49	35
6801	2007-12-31	95	\N	82
6582	2007-12-31	67	36	39
127734	2007-12-31	23	14	81
127900	2007-12-31	93	\N	22
6677	2007-12-31	88	48	57
6476	2007-12-31	8	17	100
6705	2007-12-31	35	15	25
17687	2007-12-31	14	52	73
6507	2007-12-31	23	\N	16
6574	2007-12-31	70	69	75
17675	2007-12-31	67	36	63
6360	2007-12-31	6	50	83
6547	2007-12-31	75	\N	81
99947	2007-12-31	9	\N	33
126462	2007-12-31	9	\N	20
6701	2007-12-31	61	57	43
6787	2007-12-31	31	54	81
6706	2007-12-31	86	43	33
6344	2007-12-31	34	8	78
6702	2007-12-31	98	\N	53
6703	2007-12-31	74	46	46
6487	2007-12-31	97	\N	35
6855	2007-12-31	76	86	28
384347	2007-12-31	7	\N	5
6460	2007-12-31	27	\N	43
6456	2007-12-31	35	\N	48
6750	2007-12-31	61	38	94
6286	2007-12-31	8	30	49
127353	2007-12-31	44	14	17
6621	2007-12-31	93	\N	67
6733	2007-12-31	25	\N	1
15216	2007-12-31	46	44	45
17653	2007-12-31	72	44	42
127907	2007-12-31	30	\N	23
7312	2007-12-31	47	30	51
7322	2007-12-31	58	32	75
7088	2007-12-31	76	44	75
7454	2007-12-31	32	\N	13
17297	2007-12-31	95	32	62
7085	2007-12-31	42	87	89
7226	2007-12-31	57	\N	76
99948	2007-12-31	25	\N	93
6887	2007-12-31	78	62	41
7437	2007-12-31	25	\N	12
6876	2007-12-31	2	\N	1
6915	2007-12-31	26	\N	73
17695	2007-12-31	41	8	96
7443	2007-12-31	88	\N	72
7187	2007-12-31	38	37	68
6992	2007-12-31	46	72	24
7250	2007-12-31	47	\N	97
1860	2007-12-31	7	29	1
7403	2007-12-31	87	8	37
127628	2007-12-31	45	32	32
7000	2007-12-31	63	62	64
7029	2007-12-31	77	5	90
17704	2007-12-31	14	52	31
144263	2007-12-31	100	60	19
7338	2007-12-31	43	88	29
17722	2007-12-31	35	63	46
158084	2007-12-31	4	49	10
8167	2007-12-31	86	58	39
6912	2007-12-31	79	92	82
7331	2007-12-31	41	19	76
7015	2007-12-31	18	82	75
17720	2007-12-31	23	50	67
6979	2007-12-31	6	45	40
6986	2007-12-31	2	85	37
17892	2007-12-31	58	92	14
7326	2007-12-31	53	36	57
7160	2007-12-31	99	82	25
7023	2007-12-31	65	79	18
7409	2007-12-31	8	\N	19
7239	2007-12-31	72	67	50
7407	2007-12-31	3	6	32
7259	2007-12-31	93	95	6
7262	2007-12-31	66	40	96
17715	2007-12-31	33	86	65
17716	2007-12-31	40	57	68
7267	2007-12-31	88	42	79
7387	2007-12-31	84	28	47
7350	2007-12-31	62	44	90
7448	2007-12-31	77	98	39
7455	2007-12-31	69	68	17
6928	2007-12-31	65	30	80
7177	2007-12-31	65	\N	\N
7196	2007-12-31	34	\N	20
8117	2007-12-31	48	26	48
7245	2007-12-31	67	95	53
6929	2007-12-31	17	7	95
7427	2007-12-31	100	95	48
6997	2007-12-31	62	10	87
7394	2007-12-31	25	100	84
9858	2007-12-31	43	5	16
7554	2007-12-31	99	93	30
7622	2007-12-31	72	20	10
7753	2007-12-31	22	17	6
7272	2007-12-31	86	1	8
7329	2007-12-31	67	83	46
4650	2007-12-31	17	\N	6
126970	2007-12-31	21	\N	67
2399	2007-12-31	77	73	9
7724	2007-12-31	16	82	5
7737	2007-12-31	26	43	1
17714	2007-12-31	10	77	83
7430	2007-12-31	40	22	32
7819	2007-12-31	63	1	33
7786	2007-12-31	73	70	77
7502	2007-12-31	52	22	98
7289	2007-12-31	49	94	4
7413	2007-12-31	82	61	69
7734	2007-12-31	50	\N	97
7925	2007-12-31	67	69	39
7861	2007-12-31	24	72	29
127937	2007-12-31	4	1	7
17741	2007-12-31	41	46	36
7594	2007-12-31	38	44	79
7634	2007-12-31	27	\N	2
8011	2007-12-31	81	\N	50
7869	2007-12-31	78	74	40
17762	2007-12-31	90	\N	\N
7670	2007-12-31	86	55	29
7631	2007-12-31	99	54	45
126760	2007-12-31	\N	\N	9
126985	2007-12-31	42	\N	43
7576	2007-12-31	7	55	75
8049	2007-12-31	75	16	47
17708	2007-12-31	100	78	87
7743	2007-12-31	92	97	34
126733	2007-12-31	12	\N	27
7702	2007-12-31	23	\N	43
17729	2007-12-31	68	\N	\N
7735	2007-12-31	98	3	80
7940	2007-12-31	41	58	58
7947	2007-12-31	64	89	9
7853	2007-12-31	6	83	87
17769	2007-12-31	99	100	55
17591	2007-12-31	36	18	75
8010	2007-12-31	31	21	91
7917	2007-12-31	26	6	1
7844	2007-12-31	4	\N	6
18896	2007-12-31	15	\N	8
7882	2007-12-31	18	60	34
8878	2007-12-31	18	\N	67
17772	2007-12-31	29	29	97
8066	2007-12-31	79	83	31
8028	2007-12-31	58	28	75
7512	2007-12-31	96	61	58
7899	2007-12-31	33	46	18
7616	2007-12-31	71	39	41
17742	2007-12-31	75	27	21
7956	2007-12-31	34	\N	3
7906	2007-12-31	66	54	91
17770	2007-12-31	37	7	80
126961	2007-12-31	1	\N	9
7865	2007-12-31	63	16	32
8166	2007-12-31	39	28	52
127934	2007-12-31	1	\N	1
8098	2007-12-31	34	\N	81
8143	2007-12-31	11	13	65
8022	2007-12-31	36	61	89
8147	2007-12-31	32	\N	78
8241	2007-12-31	8	62	22
17782	2007-12-31	92	81	60
